,year_x,stateabbr_x,statedesc_x,locationname,datasource_x,category_x,measure_x,data_value_unit_x,data_value_type_x,data_value_x,low_confidence_limit_x,high_confidence_limit_x,totalpopulation_x,geolocation_x,short_question_text_x,data_value_y,low_confidence_limit_y,high_confidence_limit_y,short_question_text_y,y
30,2020,AL,Alabama,Babbie,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.9,6.4,603,"{'type': 'Point', 'coordinates': [-86.32295486, 31.30220817]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
31,2020,AL,Alabama,Baileyton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.4,610,"{'type': 'Point', 'coordinates': [-86.60822915, 34.26081114]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
32,2020,AL,Alabama,Bakerhill,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.6,6.1,279,"{'type': 'Point', 'coordinates': [-85.3076415, 31.77180165]}",Cancer (except skin),6.2,5.5,6.8,Cancer (except skin),1.0
33,2020,AL,Alabama,Ballplay,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.4,1580,"{'type': 'Point', 'coordinates': [-85.78524288, 34.01787162]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
34,2020,AL,Alabama,Banks,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.7,6.2,179,"{'type': 'Point', 'coordinates': [-85.83643405, 31.81326404]}",Cancer (except skin),6.2,5.6,6.9,Cancer (except skin),1.0
35,2020,AL,Alabama,Bay Minette,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.7,6.1,8329,"{'type': 'Point', 'coordinates': [-87.77866833, 30.87938653]}",Cancer (except skin),6.1,5.5,6.7,Cancer (except skin),1.0
36,2020,AL,Alabama,Bayou La Batre,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.5,5.3,5.7,2563,"{'type': 'Point', 'coordinates': [-88.2607275, 30.40440807]}",Cancer (except skin),6.0,5.5,6.6,Cancer (except skin),1.0
37,2020,AL,Alabama,Bear Creek,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,1070,"{'type': 'Point', 'coordinates': [-87.71659715, 34.26495277]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
38,2020,AL,Alabama,Beatrice,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.4,5.1,5.6,301,"{'type': 'Point', 'coordinates': [-87.20904641, 31.73330937]}",Cancer (except skin),5.6,5.1,6.2,Cancer (except skin),1.0
39,2020,AL,Alabama,Beaverton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.5,201,"{'type': 'Point', 'coordinates': [-88.02177782, 33.93541175]}",Cancer (except skin),6.4,5.8,7.1,Cancer (except skin),1.0
40,2020,AL,Alabama,Belgreen,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.6,129,"{'type': 'Point', 'coordinates': [-87.86528689, 34.4767575]}",Cancer (except skin),6.6,5.9,7.3,Cancer (except skin),1.0
41,2020,AL,Alabama,Belk,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.8,6.3,215,"{'type': 'Point', 'coordinates': [-87.92860801, 33.65164798]}",Cancer (except skin),6.4,5.8,7.1,Cancer (except skin),1.0
42,2020,AL,Alabama,Bellamy,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.2,5.0,5.5,543,"{'type': 'Point', 'coordinates': [-88.1297375, 32.45640873]}",Cancer (except skin),5.4,4.9,6.0,Cancer (except skin),1.0
43,2020,AL,Alabama,Belle Fontaine,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,608,"{'type': 'Point', 'coordinates': [-88.11321149, 30.49209226]}",Cancer (except skin),6.7,6.1,7.3,Cancer (except skin),1.0
44,2020,AL,Alabama,Berlin,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.7,6.4,159,"{'type': 'Point', 'coordinates': [-86.74413509, 34.18698104]}",Cancer (except skin),6.4,5.7,7.1,Cancer (except skin),1.0
45,2020,AL,Alabama,Berry,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.7,6.4,1148,"{'type': 'Point', 'coordinates': [-87.59733375, 33.66355342]}",Cancer (except skin),6.4,5.8,7.1,Cancer (except skin),1.0
46,2020,AL,Alabama,Bessemer,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.5,5.5,5.6,27959,"{'type': 'Point', 'coordinates': [-87.02178025, 33.37464735]}",Cancer (except skin),5.7,5.2,6.3,Cancer (except skin),1.0
47,2020,AL,Alabama,Billingsley,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.7,6.4,144,"{'type': 'Point', 'coordinates': [-86.704004, 32.66290598]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
48,2020,AL,Alabama,Birmingham,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.4,5.4,5.5,212117,"{'type': 'Point', 'coordinates': [-86.79698717, 33.52899225]}",Cancer (except skin),5.6,5.1,6.1,Cancer (except skin),1.0
49,2020,AL,Alabama,Black,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.5,207,"{'type': 'Point', 'coordinates': [-85.74279127, 31.01024945]}",Cancer (except skin),6.5,5.8,7.3,Cancer (except skin),1.0
50,2020,AL,Alabama,Blountsville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.4,1684,"{'type': 'Point', 'coordinates': [-86.5867597, 34.08140264]}",Cancer (except skin),6.4,5.8,7.1,Cancer (except skin),1.0
51,2020,AL,Alabama,Blue Ridge,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,1341,"{'type': 'Point', 'coordinates': [-86.18390003, 32.50103524]}",Cancer (except skin),6.6,5.9,7.2,Cancer (except skin),1.0
52,2020,AL,Alabama,Blue Springs,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.5,96,"{'type': 'Point', 'coordinates': [-85.50352641, 31.66351571]}",Cancer (except skin),6.5,5.8,7.1,Cancer (except skin),1.0
53,2020,AL,Alabama,Boaz,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,6.0,6.4,9551,"{'type': 'Point', 'coordinates': [-86.15220366, 34.19950061]}",Cancer (except skin),6.4,5.9,7.0,Cancer (except skin),1.0
54,2020,AL,Alabama,Boligee,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.2,5.0,5.5,328,"{'type': 'Point', 'coordinates': [-88.02645546, 32.76997226]}",Cancer (except skin),5.4,4.8,6.0,Cancer (except skin),1.0
55,2020,AL,Alabama,Bon Air,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,116,"{'type': 'Point', 'coordinates': [-86.33183897, 33.26208332]}",Cancer (except skin),6.6,5.9,7.3,Cancer (except skin),1.0
56,2020,AL,Alabama,Bon Secour,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.9,6.4,999,"{'type': 'Point', 'coordinates': [-87.72715876, 30.322264]}",Cancer (except skin),6.3,5.7,7.0,Cancer (except skin),1.0
57,2020,AL,Alabama,Boykin,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.1,4.9,5.4,275,"{'type': 'Point', 'coordinates': [-87.29152513, 32.07007049]}",Cancer (except skin),5.3,4.8,5.9,Cancer (except skin),1.0
58,2020,AL,Alabama,Brantley,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.7,5.5,5.9,809,"{'type': 'Point', 'coordinates': [-86.25692352, 31.58224764]}",Cancer (except skin),6.1,5.5,6.7,Cancer (except skin),1.0
59,2020,AL,Alabama,Brantleyville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.9,6.4,884,"{'type': 'Point', 'coordinates': [-86.88202608, 33.21955581]}",Cancer (except skin),6.6,6.0,7.2,Cancer (except skin),1.0
60,2020,AL,Alabama,Brent,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.6,5.4,5.8,4947,"{'type': 'Point', 'coordinates': [-87.176702, 32.94579787]}",Cancer (except skin),5.8,5.3,6.4,Cancer (except skin),1.0
61,2020,AL,Alabama,Brewton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.6,6.0,5408,"{'type': 'Point', 'coordinates': [-87.07464821, 31.11776601]}",Cancer (except skin),6.0,5.5,6.7,Cancer (except skin),1.0
62,2020,AL,Alabama,Bridgeport,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.3,2418,"{'type': 'Point', 'coordinates': [-85.72430847, 34.94949077]}",Cancer (except skin),6.4,5.8,7.2,Cancer (except skin),1.0
63,2020,AL,Alabama,Brighton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.2,4.9,5.4,2945,"{'type': 'Point', 'coordinates': [-86.94538399, 33.43925255]}",Cancer (except skin),5.3,4.8,5.9,Cancer (except skin),1.0
64,2020,AL,Alabama,Brilliant,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,6.0,6.5,900,"{'type': 'Point', 'coordinates': [-87.7573015, 34.01954684]}",Cancer (except skin),6.6,5.9,7.3,Cancer (except skin),1.0
65,2020,AL,Alabama,Bristow Cove,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.5,683,"{'type': 'Point', 'coordinates': [-86.24098533, 34.10921477]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
66,2020,AL,Alabama,Brook Highland,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.8,6.3,6746,"{'type': 'Point', 'coordinates': [-86.68487886, 33.43589536]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
67,2020,AL,Alabama,Brookside,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,6.0,6.3,1363,"{'type': 'Point', 'coordinates': [-86.90128961, 33.63797427]}",Cancer (except skin),6.4,5.8,7.0,Cancer (except skin),1.0
68,2020,AL,Alabama,Brookwood,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.8,6.4,1828,"{'type': 'Point', 'coordinates': [-87.32753227, 33.23951413]}",Cancer (except skin),6.4,5.8,7.1,Cancer (except skin),1.0
69,2020,AL,Alabama,Broomtown,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.8,6.5,182,"{'type': 'Point', 'coordinates': [-85.5193995, 34.36265501]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
70,2020,AL,Alabama,Brundidge,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.5,5.3,5.7,2076,"{'type': 'Point', 'coordinates': [-85.81781135, 31.7182238]}",Cancer (except skin),5.7,5.1,6.3,Cancer (except skin),1.0
71,2020,AL,Alabama,Butler,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.7,6.2,1894,"{'type': 'Point', 'coordinates': [-88.21077815, 32.09647937]}",Cancer (except skin),6.3,5.6,7.0,Cancer (except skin),1.0
72,2020,AL,Alabama,Calera,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.9,6.2,11624,"{'type': 'Point', 'coordinates': [-86.74566533, 33.12438313]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
73,2020,AL,Alabama,Calvert,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.7,5.6,5.9,277,"{'type': 'Point', 'coordinates': [-88.01697154, 31.15395341]}",Cancer (except skin),6.1,5.7,6.6,Cancer (except skin),1.0
74,2020,AL,Alabama,Camden,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.7,5.5,6.0,2020,"{'type': 'Point', 'coordinates': [-87.29669457, 32.00069158]}",Cancer (except skin),6.0,5.4,6.6,Cancer (except skin),1.0
75,2020,AL,Alabama,Camp Hill,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.3,5.0,5.5,1014,"{'type': 'Point', 'coordinates': [-85.65365476, 32.80021771]}",Cancer (except skin),5.5,4.9,6.1,Cancer (except skin),1.0
76,2020,AL,Alabama,Carbon Hill,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.8,6.3,2021,"{'type': 'Point', 'coordinates': [-87.52418026, 33.8962507]}",Cancer (except skin),6.5,5.8,7.1,Cancer (except skin),1.0
77,2020,AL,Alabama,Carlisle-Rockledge,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,6.0,6.4,2137,"{'type': 'Point', 'coordinates': [-86.11906758, 34.11403469]}",Cancer (except skin),6.5,5.9,7.1,Cancer (except skin),1.0
78,2020,AL,Alabama,Carlton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.6,5.3,6.0,65,"{'type': 'Point', 'coordinates': [-87.8385235, 31.34655389]}",Cancer (except skin),5.9,5.2,6.6,Cancer (except skin),1.0
79,2020,AL,Alabama,Carolina,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,297,"{'type': 'Point', 'coordinates': [-86.52267116, 31.23368678]}",Cancer (except skin),6.6,5.9,7.3,Cancer (except skin),1.0
80,2020,AL,Alabama,Carrollton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.5,6.0,1019,"{'type': 'Point', 'coordinates': [-88.09507431, 33.26187897]}",Cancer (except skin),6.0,5.4,6.7,Cancer (except skin),1.0
81,2020,AL,Alabama,Castleberry,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.7,5.5,5.9,583,"{'type': 'Point', 'coordinates': [-87.02695164, 31.3001272]}",Cancer (except skin),6.0,5.4,6.6,Cancer (except skin),1.0
82,2020,AL,Alabama,Cedar Bluff,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.7,6.3,1846,"{'type': 'Point', 'coordinates': [-85.58789152, 34.22004679]}",Cancer (except skin),6.3,5.7,7.0,Cancer (except skin),1.0
83,2020,AL,Alabama,Center Point,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.7,5.9,16921,"{'type': 'Point', 'coordinates': [-86.68355223, 33.64307991]}",Cancer (except skin),6.0,5.5,6.6,Cancer (except skin),1.0
84,2020,AL,Alabama,Centre,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,5.9,6.4,3485,"{'type': 'Point', 'coordinates': [-85.66970007, 34.15497048]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
85,2020,AL,Alabama,Centreville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.7,6.2,2778,"{'type': 'Point', 'coordinates': [-87.12209, 32.94326766]}",Cancer (except skin),6.3,5.7,7.0,Cancer (except skin),1.0
86,2020,AL,Alabama,Chatom,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.7,6.2,1288,"{'type': 'Point', 'coordinates': [-88.24602114, 31.46914557]}",Cancer (except skin),6.2,5.6,6.9,Cancer (except skin),1.0
87,2020,AL,Alabama,Chelsea,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,6.0,6.4,10519,"{'type': 'Point', 'coordinates': [-86.591535, 33.34056628]}",Cancer (except skin),6.7,6.0,7.3,Cancer (except skin),1.0
